comment_id,commit_id,author_login,author_id,body,created_at,updated_at
202003,40e40a578ac12d68f98c76653f789f802531e63a,viktorklang,10871,"In what way is it incorrect: It looks like this:

/**
- Scala SLF4J wrapper
  *
- Example:
- <pre>
- class Foo extends Logging {
-   log.info(""My foo is %s"",""alive"")
-   log.error(new Exception(),""My foo is %s"",""broken"")
- }
- </pre>
  *
- The logger uses String.format:
- http://download-llnw.oracle.com/javase/6/docs/api/java/lang/String.html#format(java.lang.String,%20java.lang.Object...)
  *
- If you want to use underlying slf4j Logger, do:
-   log.slf4j.info(""My foo is {}"",""alive"")
-   log.slf4j.error(""My foo is broken"",new Exception())
  */
",2010-11-24T14:30:30Z,2010-11-24T14:30:30Z
202011,40e40a578ac12d68f98c76653f789f802531e63a,sirthias,135347,"Mea culpa!
I was only looking at commit 40e40a57 and missed your changes to the documentation in 0bdaf522.
Never mind, I should be more careful with my comments...
",2010-11-24T14:44:03Z,2010-11-24T14:44:03Z
228064,66a63514bd326a5882313fdab85b9771ed53ccc1,viktorklang,10871,"null seems like a code-smell to me. Why is it needed? Replace with default-parameter?
",2010-12-29T09:12:11Z,2010-12-29T09:12:11Z
228071,66a63514bd326a5882313fdab85b9771ed53ccc1,momania,66616,"If you don't need state data, type with Unit and use startWith(0, ())
",2010-12-29T09:26:01Z,2010-12-29T09:26:01Z
228075,66a63514bd326a5882313fdab85b9771ed53ccc1,viktorklang,10871,"Seems to be quite a bit of code duplication in these methods, consider breaking out the poll-compare loop and reuse it across the board.
",2010-12-29T09:30:43Z,2010-12-29T09:30:43Z
228112,66a63514bd326a5882313fdab85b9771ed53ccc1,retronym,65551,"Little known factoid: you can provide a default for a parameter of of a generic type. 

def foo[A](a: A = %28%29); 
foo[Unit]; 
foo[Int] // compile error.
",2010-12-29T11:03:21Z,2010-12-29T11:03:21Z
228374,66a63514bd326a5882313fdab85b9771ed53ccc1,rkuhn,470469,"I like Irmo's suggestion best and implemented it. Jason, I don't see how your trick with a default argument could be applied to a trait, and as it is only affecting two lines, I'm currently concentrating on testing integration with scalatest instead.
",2010-12-29T19:27:26Z,2010-12-29T19:27:26Z
228375,66a63514bd326a5882313fdab85b9771ed53ccc1,rkuhn,470469,"Done (plus some more cleanup). Will push soon.
",2010-12-29T19:28:19Z,2010-12-29T19:28:19Z
229691,f45a86bd97e5d5e3718d8eb834e7e93afd5772c1,rkuhn,470469,"just out of curiosity: would it be too inefficient to say

```
config._id foreach (actorRef._id = _)
```
",2010-12-31T09:03:51Z,2010-12-31T09:03:51Z
229745,f45a86bd97e5d5e3718d8eb834e7e93afd5772c1,viktorklang,10871,"Hey, that's a perfectly valid question.
We has a rule inside the framework to avoid allocations everywhere possible, because allocations totally ruin throughput. So whenever you do an anonfun like you suggested, you're allocating a new object.

See this for more background, it's Peter Veentjers observations for multiverse: http://git.codehaus.org/gitweb.cgi?p=multiverse.git;a=blob;f=charts/boxing_overhead_total_line.png;h=f523d13361bbf3b6f9301f64b9f9477c1e4d529b;hb=refs/heads/multiverse-beta
",2010-12-31T11:26:21Z,2010-12-31T11:26:21Z
230198,3d502a5226da1d3f6879ea27eb0835d08ac871cd,rkuhn,470469,"returning the client cannot possibly throw an exception, right? On the other hand, calling an extractor could in principle do that, which you have not wrapped in a try block. According to the docs, which look sensible to me, the try block should start right after the lock. Syntax then dictates that the slow path cannot be nested within the fast path match. 
",2011-01-01T22:00:58Z,2011-01-01T22:00:58Z
230200,3d502a5226da1d3f6879ea27eb0835d08ac871cd,viktorklang,10871,"You're right, even if all goes well, an OOME could be thrown.
",2011-01-01T22:04:00Z,2011-01-01T22:04:00Z
230202,3d502a5226da1d3f6879ea27eb0835d08ac871cd,rkuhn,470469,"wrong order of try and lock
",2011-01-01T22:10:26Z,2011-01-01T22:10:26Z
230204,3d502a5226da1d3f6879ea27eb0835d08ac871cd,rkuhn,470469,"could this in principle come around as a ""write"" here? that would deadlock
",2011-01-01T22:12:02Z,2011-01-01T22:12:02Z
230205,3d502a5226da1d3f6879ea27eb0835d08ac871cd,viktorklang,10871,"Yeah, that one was fixed by the commit after this one. But good catch anyway!
",2011-01-01T22:12:07Z,2011-01-01T22:12:07Z
230208,3d502a5226da1d3f6879ea27eb0835d08ac871cd,viktorklang,10871,"Nah, this should be just fine, it's a simple read.
",2011-01-01T22:16:14Z,2011-01-01T22:16:14Z
230212,3d502a5226da1d3f6879ea27eb0835d08ac871cd,rkuhn,470469,"things like these can be said more succinctly with the Duration changes I did on the testkit branch, I would think ...
",2011-01-01T22:22:05Z,2011-01-01T22:22:05Z
230216,25f33d5bdcc97876b4ce1669316a3203db4746cd,rkuhn,470469,"if this throws an exception, then you unlock the read lock twice
",2011-01-01T22:33:59Z,2011-01-01T22:33:59Z
230217,25f33d5bdcc97876b4ce1669316a3203db4746cd,viktorklang,10871,"If it throws an exception, an exception will be thrown anyway.
",2011-01-01T22:36:07Z,2011-01-01T22:36:07Z
230219,25f33d5bdcc97876b4ce1669316a3203db4746cd,rkuhn,470469,"true. but in the (unlikely) case of a nested read lock, the second unlock may well succeed and if the original exception is then caught within the outer read lock that code will run without a lock but unaware of that fact. I suppose it will not be a problem (famous last words), it's more a cleanliness issue for me. 
",2011-01-01T22:45:50Z,2011-01-01T22:45:50Z
230510,eddbac547810c80691f8200fda499dc78378af94,viktorklang,10871,"This does allocations everytime the method is call. Also, worth to note that orElse is rather expensive on the resulting PartialFunction.
",2011-01-02T22:51:07Z,2011-01-02T22:51:07Z
230511,eddbac547810c80691f8200fda499dc78378af94,viktorklang,10871,"This does an allocation for the thunk.
",2011-01-02T22:52:38Z,2011-01-02T22:52:38Z
230966,eddbac547810c80691f8200fda499dc78378af94,rkuhn,470469,"What a shame, as it would not be necessary (for the semantics I desire). If only there was an ""orElseStrict""... I changed it.
",2011-01-03T19:07:45Z,2011-01-03T19:07:45Z
230967,eddbac547810c80691f8200fda499dc78378af94,rkuhn,470469,"Here I am inclined to say that the allocation does not matter: it is meant to run only during actor creation. Concerning the second part: I looked at the source for PartialFunction and found only what I would have to open-code otherwise, so what is the alternative?
",2011-01-03T19:09:31Z,2011-01-03T19:09:31Z
231004,aee972f5c759d26e91d2f01329e7b98c8356a896,rkuhn,470469,"Oops, sorry. Thanks! I've added a test case to catch this in FSMTimingSpec.
",2011-01-03T19:42:26Z,2011-01-03T19:42:26Z
270492,8a98406f07166a2f560d0efcdd3217253e76fbcc,viktorklang,10871,"Slick!
",2011-02-14T10:15:04Z,2011-02-14T10:15:04Z
273553,8a98406f07166a2f560d0efcdd3217253e76fbcc,jboner,10701,"Nice. Just what I meant when I added the ticket. 
",2011-02-16T17:27:13Z,2011-02-16T17:27:13Z
273558,8a98406f07166a2f560d0efcdd3217253e76fbcc,jboner,10701,"Can you document all these nice stuff as well? I think it would be best to create a stand-alone page on Future stuff. Now it is found deep down in the Actor docs. Thanks. 
",2011-02-16T17:31:23Z,2011-02-16T17:31:23Z
273934,8a98406f07166a2f560d0efcdd3217253e76fbcc,derekjw,7174,"For sure. I've been organizing info for a akka-scalaz page, and I'll work on a Future page as well. I'll add some scaladocs to the public methods too here too.
",2011-02-16T22:42:23Z,2011-02-16T22:42:23Z
275186,8a98406f07166a2f560d0efcdd3217253e76fbcc,jboner,10701,"Cool thanks a lot. 
",2011-02-17T22:24:14Z,2011-02-17T22:24:14Z
285860,87d4f6bca57f8c96d36566add5bfdf58e9e35144,viktorklang,10871,"What's the purpose of this object?

Couldn't one just use: Actor.remote match {
  case c: ClientFilters => c.registerClientFilters(""blah"")
  case _ => /\* Doesn't support ClientFilters */
}

I'd really like to keep the functionality under Actor.remote, and not spread it out on other interfaces, people should be able to look for it under Actor.remote.
What do you feel about that?
",2011-02-28T13:46:58Z,2011-02-28T13:46:58Z
285861,87d4f6bca57f8c96d36566add5bfdf58e9e35144,viktorklang,10871,"CCE appropriate?
",2011-02-28T13:47:13Z,2011-02-28T13:47:13Z
285862,87d4f6bca57f8c96d36566add5bfdf58e9e35144,viktorklang,10871,"CCE
",2011-02-28T13:47:22Z,2011-02-28T13:47:22Z
285868,a8147d3f636e75b6d999e6615db3c170e8cc63e8,viktorklang,10871,"Should we really make a connection just to add a filter?
I'd like to keep them separate, so if you shut a connection down, you don't have to re-add the entire pipeline.

Ideas?
",2011-02-28T13:50:27Z,2011-02-28T13:50:27Z
285869,a8147d3f636e75b6d999e6615db3c170e8cc63e8,viktorklang,10871,"Same as the above
",2011-02-28T13:50:45Z,2011-02-28T13:50:45Z
285870,a8147d3f636e75b6d999e6615db3c170e8cc63e8,viktorklang,10871,"CCE?
",2011-02-28T13:51:00Z,2011-02-28T13:51:00Z
285871,a8147d3f636e75b6d999e6615db3c170e8cc63e8,viktorklang,10871,"CCE?
",2011-02-28T13:51:05Z,2011-02-28T13:51:05Z
285873,a8147d3f636e75b6d999e6615db3c170e8cc63e8,viktorklang,10871,"You need to do that without the allocations, it's in the critical path for the remoting.
",2011-02-28T13:52:31Z,2011-02-28T13:52:31Z
285874,a8147d3f636e75b6d999e6615db3c170e8cc63e8,viktorklang,10871,"Write that w/o the allocations
",2011-02-28T13:52:49Z,2011-02-28T13:52:49Z
285892,df2e209ca002a6c0a1ae0ddfd25c03ebb5045b60,viktorklang,10871,"Are you confident in these changes?
Because I'd really want some proof that this doesn't break anything ;-)
",2011-02-28T14:07:52Z,2011-02-28T14:07:52Z
285893,3a62cab8374f53e44f168741b1c553ac317b7e18,viktorklang,10871,"Is there a Java API for this as well?
",2011-02-28T14:08:38Z,2011-02-28T14:08:38Z
285896,40afb9ed2d3e263264a3f24e117ef5a983f69fb4,viktorklang,10871,"How could ""(futures remove invocation.uuid)"" ever be false?
",2011-02-28T14:13:39Z,2011-02-28T14:13:39Z
285960,40afb9ed2d3e263264a3f24e117ef5a983f69fb4,derekjw,7174,"And would it even matter if it was false? The only thing this if statement is doing is scheduling a shutdown. I'll move it to a separate line so it's more clear that the result doesn't matter.
",2011-02-28T15:43:23Z,2011-02-28T15:43:23Z
285965,3a62cab8374f53e44f168741b1c553ac317b7e18,derekjw,7174,"No, perhaps I should leave this method like it was (or make it more Java friendly if it isn't) and add something like:

object Future {
  def apply[T](body: => T ....
}

for a cleaner Scala API.
",2011-02-28T15:47:49Z,2011-02-28T15:47:49Z
287055,42cf34d664accd48b9d51c40d9e061bcda4019cc,viktorklang,10871,"Oh, by the way, we should do that and Actor.registry.unregister(this) in a finally block after postStop (to ensure cleanup). WDYT?
",2011-03-01T08:43:06Z,2011-03-01T08:43:06Z
287062,42cf34d664accd48b9d51c40d9e061bcda4019cc,viktorklang,10871,"Looks real slick! Great work! :-)
",2011-03-01T08:47:38Z,2011-03-01T08:47:38Z
287185,42cf34d664accd48b9d51c40d9e061bcda4019cc,krasserm,202907,"Sure, makes sense. Why not including

```
  if (isRemotingEnabled) {
    if (isClientManaged_?)
      Actor.remote.unregisterClientManagedActor(homeAddress.get.getHostName, homeAddress.get.getPort, uuid)
    Actor.remote.unregister(this)
  }
  setActorSelfFields(actorInstance.get,null)
```

in the finally block as well?
",2011-03-01T10:41:00Z,2011-03-01T10:41:00Z
287198,42cf34d664accd48b9d51c40d9e061bcda4019cc,viktorklang,10871,"Defo!
",2011-03-01T10:51:02Z,2011-03-01T10:51:02Z
287209,42cf34d664accd48b9d51c40d9e061bcda4019cc,viktorklang,10871,"We need to reset currentMessage here as well.
",2011-03-01T11:04:25Z,2011-03-01T11:04:25Z
287210,42cf34d664accd48b9d51c40d9e061bcda4019cc,krasserm,202907,"done: https://github.com/jboner/akka/commit/7be3ddb88154d98c1dc81397b78dd45cfc36efa0

Push to master?
",2011-03-01T11:04:38Z,2011-03-01T11:04:38Z
287211,42cf34d664accd48b9d51c40d9e061bcda4019cc,viktorklang,10871,"currentMessage isn't set to null for the _old_ instance (the one preRestart is called for, but only do that is a new instance is allocated, otherwise you'll null it out for the postRestart call)
",2011-03-01T11:06:53Z,2011-03-01T11:06:53Z
287235,42cf34d664accd48b9d51c40d9e061bcda4019cc,krasserm,202907,"Sorry, I don't get that one (feeling stupid). Can you please elaborate on it?

What maybe confuses me: to me it looks that both the old and the new Actor instance are accessed through the same ActorRef instance. So how should I reset currentMessage only for the old instance only? 
",2011-03-01T11:41:31Z,2011-03-01T11:41:31Z
287283,42cf34d664accd48b9d51c40d9e061bcda4019cc,viktorklang,10871,"Sorry mate, it was just me being stupid. Since the currentMessage is on the ref and not the actor don't mind what I said :-) Sorry
",2011-03-01T12:58:51Z,2011-03-01T12:58:51Z
287423,42cf34d664accd48b9d51c40d9e061bcda4019cc,krasserm,202907,"No worries, although I meanwhile started to have some self-doubts ... seen myself already planting potatoes for the rest of my life :)

Shall I push to master then?
",2011-03-01T15:38:51Z,2011-03-01T15:38:51Z
287430,42cf34d664accd48b9d51c40d9e061bcda4019cc,viktorklang,10871,"Yeah, go ahead. Thanks
",2011-03-01T15:42:13Z,2011-03-01T15:42:13Z
289047,015415d14e1a42f2c8c4d8dea1b3081928cb56b5,gseitz,158412,"Is it essential that UUID implements org.omg.CORBA.portable.IDLEntity?
It may not be always available, as it's the case for Android.
And while Android is probably not even close to being a target platform for Akka, I just wanted to point that out.
",2011-03-02T19:09:45Z,2011-03-02T19:09:45Z
289138,015415d14e1a42f2c8c4d8dea1b3081928cb56b5,viktorklang,10871,"It's not super hard to add that interface yourself if you're missing it:

public interface IDLEntity
extends Serializable
",2011-03-02T20:43:04Z,2011-03-02T20:43:04Z
289146,015415d14e1a42f2c8c4d8dea1b3081928cb56b5,gseitz,158412,"I'm well aware of that and that's what I did. Was merely wondering.
",2011-03-02T20:57:20Z,2011-03-02T20:57:20Z
289147,015415d14e1a42f2c8c4d8dea1b3081928cb56b5,viktorklang,10871,"Fair enough. I merely embedded the original source to get rid of the dependency. Let's keep it as it is for now.
",2011-03-02T20:59:04Z,2011-03-02T20:59:04Z
302518,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Should this be ThreadSafe?
",2011-03-15T15:18:05Z,2011-03-15T15:18:05Z
302519,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Would be good to have some ScalaDoc for the methods in this if this is User API
",2011-03-15T15:18:45Z,2011-03-15T15:18:45Z
302520,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Should be update() <--- paren since it's side-effecting
",2011-03-15T15:19:22Z,2011-03-15T15:19:22Z
302521,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Should be unregister() <--- paren since it's side-effecting
",2011-03-15T15:19:31Z,2011-03-15T15:19:31Z
302523,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Looks slick!
",2011-03-15T15:19:42Z,2011-03-15T15:19:42Z
302534,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"I'd like some ScalaDoc on this, can you register more than one Pipeline, what does it mean to have more than one pipeline etc?
",2011-03-15T15:27:04Z,2011-03-15T15:27:04Z
302535,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Parens since it's side-effecting :-)
",2011-03-15T15:27:17Z,2011-03-15T15:27:17Z
302537,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Is this ThreadSafe as a simple var? Is publication and initialization order correct since it's in a trait?
",2011-03-15T15:27:55Z,2011-03-15T15:27:55Z
302544,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Why map here and not something like foreach?
",2011-03-15T15:34:47Z,2011-03-15T15:34:47Z
302547,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Revised comment:
So the filtersMap is protected under the same lock as remoteClients?
Why is it then not private?
",2011-03-15T15:35:52Z,2011-03-15T15:37:55Z
302549,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"What does this do?
",2011-03-15T15:36:40Z,2011-03-15T15:36:40Z
302551,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Should the updateFilters be done even if ""connect"" fails below?
",2011-03-15T15:38:30Z,2011-03-15T15:38:30Z
302552,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Why writeGuard for all accesses?
",2011-03-15T15:39:10Z,2011-03-15T15:39:10Z
302568,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Could use some ScalaDoc love, since it's (I guess) User API
",2011-03-15T15:55:43Z,2011-03-15T15:55:43Z
302569,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Is it safe to assume that we can cache this?
",2011-03-15T15:56:02Z,2011-03-15T15:56:02Z
302573,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Is this ThreadSafe? What about safe publication of vars in traits?
",2011-03-15T15:59:51Z,2011-03-15T15:59:51Z
302575,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Why synchronized and not a guard/lock?
",2011-03-15T16:00:16Z,2011-03-15T16:00:16Z
302576,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Why semi-colon? :-)
",2011-03-15T16:00:43Z,2011-03-15T16:00:43Z
302579,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"This is not thread safe
",2011-03-15T16:01:58Z,2011-03-15T16:01:58Z
302580,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"currentFitlers is neither a volatile variable, a final field to an Atomic\* or protected by a guard
",2011-03-15T16:02:38Z,2011-03-15T16:02:38Z
302581,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Is this safe?
",2011-03-15T16:03:14Z,2011-03-15T16:03:14Z
302583,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Why map and not foreach?
",2011-03-15T16:03:43Z,2011-03-15T16:03:43Z
302584,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Why map and not foreach?
",2011-03-15T16:03:55Z,2011-03-15T16:03:55Z
302585,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Is this thread safe?
",2011-03-15T16:04:09Z,2011-03-15T16:04:09Z
302586,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"is this threadsafe?
",2011-03-15T16:04:16Z,2011-03-15T16:04:16Z
302588,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Shouldn't need this anymore, try to remove the sleep.
",2011-03-15T16:04:45Z,2011-03-15T16:04:45Z
302589,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"Nice, server.register starts automatically :-)
",2011-03-15T16:05:01Z,2011-03-15T16:05:01Z
302591,af3c5ec31c2d2514376c7a70de0e9191534ddaea,viktorklang,10871,"The test doesn't test any concurrent access to the remoting, this would be very appropriate to have to be able to shake out race-conditions.
",2011-03-15T16:06:12Z,2011-03-15T16:06:12Z
315119,b4256431cddc0a70f2845925366e883dc5029b17,viktorklang,10871,"You can't do peek, you need to pop the message, since two or more threads can peek the same message and send it before it gets removed.
",2011-03-25T10:58:22Z,2011-03-25T10:58:22Z
315121,b4256431cddc0a70f2845925366e883dc5029b17,viktorklang,10871,"I think ""UnknownRemoteException"" is misleading, we know what the problem is, that we cannot instantiate the Exception.
",2011-03-25T10:59:06Z,2011-03-25T10:59:06Z
315129,b4256431cddc0a70f2845925366e883dc5029b17,jboner,10701,"I don't think so. It is clearer than UnparsebleException which means nothing to the user. We heard that yesterday. It's an impl detail.
UninstantiableRemoteException is perhaps best. 
",2011-03-25T11:03:24Z,2011-03-25T11:03:24Z
315139,b4256431cddc0a70f2845925366e883dc5029b17,jboner,10701,"Now it gives at-least-once semantics. Which is not ideal I agree. But if I do a queue.poll and then fail. Then I need to put it back at the _front_ else you violate the ordering contract. So then I need to use a LinkedBlockingDeque or something else that allows append to the head.
This could also violate the ordering if one thread comes first, tries to send and then fails, while some other one comes in slightly after and succeeds before the first one have had a chance to put it pack on the head of the queue. 
Thoughts? 
",2011-03-25T11:11:22Z,2011-03-25T11:11:22Z
315146,b4256431cddc0a70f2845925366e883dc5029b17,viktorklang,10871,"On Fri, Mar 25, 2011 at 12:11 PM, jboner <
reply@reply.github.com>wrote:

> Now it gives at-least-once semantics. Which is not ideal I agree. But if I
> do a queue.poll and then fail. Then I need to put it back at the _front_
> else you violate the ordering contract. So then I need to use a
> LinkedBlockingDeque or something else that allows append to the head.
> This could also violate the ordering if one thread comes first, tries to
> send and then fails, while some other one comes in slightly after and
> succeeds before the first one have had a chance to put it pack on the head
> of the queue.
> Thoughts?

Only add to queue if send fails, and have a lock for the queue so only one
thread can attempt to flush the queue.

> ## 
> 
> Reply to this email directly or view it on GitHub:
> 
> https://github.com/jboner/akka/commit/b4256431cddc0a70f2845925366e883dc5029b17#commitcomment-315139
## 

Viktor Klang,
Relentless is more
Work:   Scalable Solutions http://www.scalablesolutions.se
Code:   github.com/viktorklang
Follow: twitter.com/viktorklang
Read:   klangism.tumblr.com
",2011-03-25T11:18:16Z,2011-03-25T11:18:16Z
315148,b4256431cddc0a70f2845925366e883dc5029b17,jboner,10701,"You mean split it up in two passes. Send the original one, then flush the remaining. Sure that's a good idea. 
",2011-03-25T11:22:33Z,2011-03-25T11:22:33Z
315151,b4256431cddc0a70f2845925366e883dc5029b17,viktorklang,10871,"On Fri, Mar 25, 2011 at 12:22 PM, jboner <
reply@reply.github.com>wrote:

> You mean split it up in two passes. Send the original one, then flush the
> remaining. Sure that's a good idea.

Or first attempt flush (to atleast try to preserve ordering), then send
message, if message send fails, add message to the queue.

Could that work?

> ## 
> 
> Reply to this email directly or view it on GitHub:
> 
> https://github.com/jboner/akka/commit/b4256431cddc0a70f2845925366e883dc5029b17#commitcomment-315148
## 

Viktor Klang,
Relentless is more
Work:   Scalable Solutions http://www.scalablesolutions.se
Code:   github.com/viktorklang
Follow: twitter.com/viktorklang
Read:   klangism.tumblr.com
",2011-03-25T11:24:04Z,2011-03-25T11:24:04Z
315461,b4256431cddc0a70f2845925366e883dc5029b17,jboner,10701,"We don't need that at all now. I just log message on failure. The replay is only done on reconnect in the netty hook (done in a lock now as well). See latest commit. 
",2011-03-25T15:22:02Z,2011-03-25T15:22:02Z
316117,b4256431cddc0a70f2845925366e883dc5029b17,viktorklang,10871,"Jonas, you are insane:

CannotInstantiateRemoteExceptionDueToRemoteProtocolParsingErrorException

On Fri, Mar 25, 2011 at 4:22 PM, jboner <
reply@reply.github.com>wrote:

> We don't need that at all now. I just log message on failure. The replay is
> only done on reconnect in the netty hook (done in a lock now as well). See
> latest commit.
> ## 
> 
> Reply to this email directly or view it on GitHub:
> 
> https://github.com/jboner/akka/commit/b4256431cddc0a70f2845925366e883dc5029b17#commitcomment-315461
## 

Viktor Klang,
Relentless is more
Work:   Scalable Solutions http://www.scalablesolutions.se
Code:   github.com/viktorklang
Follow: twitter.com/viktorklang
Read:   klangism.tumblr.com
",2011-03-26T00:13:29Z,2011-03-26T00:13:29Z
316121,3f719ef6107e5d188df5c88baa7fc65207685d86,viktorklang,10871,"Thinking about it this becomes fairly weird.

If the send fails, the sender will get an exception that the message wasn't sent, and then the message might get sent anyway?
",2011-03-26T00:15:51Z,2011-03-26T00:15:51Z
316124,3f719ef6107e5d188df5c88baa7fc65207685d86,viktorklang,10871,"I don't think that should be used like that (use synchronized and blok all threads), you only want to make sure that only one thread an flush the pending messages, use an AtomicBoolean and CAS, and then un-set it in a finally block:

if (flush.compareAndSet(false,true)) {
  try {

  }
  finally {
    flush.compareAndSet(true,false)
  }
}
",2011-03-26T00:18:51Z,2011-03-26T00:18:51Z
316126,3f719ef6107e5d188df5c88baa7fc65207685d86,viktorklang,10871,"Why not pop?
",2011-03-26T00:19:22Z,2011-03-26T00:19:22Z
316326,b4256431cddc0a70f2845925366e883dc5029b17,jboner,10701,"This was a bit of a joke. But now it is clear enough I think :-)
Almost Spring-level of long naming. 
",2011-03-26T09:28:04Z,2011-03-26T09:28:04Z
